dataset,version,file_name,url,access_date,license,citation,notes
HEC-RAS L27 Shisper hydrographs,v1.0,L27_breach_hydrograph_*.csv,Generated by 17_breach_hydrograph_generation.R,2026-05-10,Internal (Open data on Zenodo at submission),Froehlich 2008; Walder 1996; this study,"3 base scenarios for Shisper; ice-dammed mode (k=1.0, z=0.7)"
Randolph Glacier Inventory (RGI) 7.0 - Region 14 South Asia West,v7.0 (2023 release),RGI2000-v7.0-G-14_south_asia_west.shp,https://www.glims.org/RGI/,2026-04-29,CC-BY 4.0,"RGI 7.0 Consortium (2023). Randolph Glacier Inventory - A Dataset of Global Glacier Outlines, Version 7.0. Boulder, Colorado USA. NSIDC: National Snow and Ice Data Center. https://doi.org/10.5067/f6jmovy5navz","Global glacier outlines inventory, Version 7.0, with surge-type classification attribute (where populated). Region 14 = South Asia West includes Karakoram + Hindu Kush + Western Himalaya. 11,043 glaciers in study area bbox. 152 confirmed surge-type plus 69 probable surge. term_type field unpopulated for Region 14 (all coded 'unknown'). Used for glacier-lake matching and study-area context."
Sentinel-2 MSI Level-2A imagery,COPERNICUS/S2_SR_HARMONIZED (multiple dates 2018-2024),GEE asset (no local file),https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR_HARMONIZED,2026-04-30,Free under Copernicus terms,"European Space Agency / Copernicus Programme (2018-2024). Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A Surface Reflectance. Accessed via Google Earth Engine asset COPERNICUS/S2_SR_HARMONIZED. https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR_HARMONIZED","Sentinel-2 MSI Level-2A surface reflectance harmonized collection, accessed via Google Earth Engine. 10 m visible/NIR bands, 20 m red-edge/SWIR bands, ~5-day revisit. Used for (1) NDWI threshold sensitivity test on 4 well-known lakes and (2) visual reference for manual digitization of 17 working-set lake polygons."
OpenStreetMap - Pakistan extract,Snapshot from Geofabrik,osm_pakistan_roads_buildings_bridges.gpkg,https://download.geofabrik.de/asia/pakistan.html,2026-04-29,Open Database License (ODbL) 1.0,OpenStreetMap contributors (2026). Pakistan extract [Data file]. Geofabrik GmbH. Retrieved 2026-04-29 from https://download.geofabrik.de/asia/pakistan.html,"Volunteer-contributed geospatial database of roads, buildings, bridges, power infrastructure, and other features. Pakistan extract downloaded from Geofabrik daily snapshot. Used for exposure analysis; KKH and tributary bridges identified manually. Known completeness limitation in remote Karakoram areas (Barron et al. 2014); visible gaps in mapped roads in Gilgit-Baltistan and Chitral reflect sparse contributor activity rather than analytical processing. Acknowledged as limitation in Methods and Discussion."
OCHA Pakistan COD-AB - Administrative Boundaries,v_01 (2022),pak_admbnda_*.shp,https://data.humdata.org/dataset/cod-ab-pak,2026-04-29,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),"World Food Programme SDI (2022). Pakistan - Subnational Administrative Boundaries (COD-AB), version 01 [Dataset]. Quality-assured and published by UN OCHA Field Information Services Section (FISS), Humanitarian Data Exchange. Retrieved 2026-04-29 from https://data.humdata.org/dataset/cod-ab-pak","Common Operational Dataset Administrative Boundaries (COD-AB) for Pakistan, version 01 (valid 2022-09-09 to 2024-09-27). Source data from World Food Programme SDI, quality-assured and published by OCHA Field Information Services Section. Selected over GADM because GADM listed only pre-1947 subdivisions for GB. OCHA gives 14 modern GB districts plus Upper/Lower Chitral. Decision documented in PROJECT_NOTES 2026-04-29."
HEC-RAS L27 Shisper simulation results,v1.0,L27_Shisper_simulation_results.csv,Output from HEC-RAS 7.0,2026-05-10,Internal (open on Zenodo at submission),HEC-RAS 7.0 USACE; Diffusion Wave 2D; this study,"7 sensitivity runs: 3 volumes + 3 Manning's n + 2 sediment bulking. Mesh: 11,235 cells, 100 m base spacing. Volume conservation < 0.5% across all runs."
NDMA vulnerable lakes - filtered to study area,v1.0,lakes_vulnerable_GB_Chitral.gpkg,Generated from Sentinel-2 + ESRI World Imagery,2026-05-01,Internal (open on Zenodo at submission),"This study; basemaps: ESA Sentinel-2, ESRI World Imagery","29 NDMA-listed glacial lake POINT locations within Gilgit-Baltistan and Chitral districts. Filtered from the full NDMA inventory using OCHA Pakistan COD-AB v_01 district boundaries (pak_admin2.shp). Vulnerability distribution: 5 lakes at v=2, 7 at v=3, 4 at v=4, 13 at v=5. Working set at vulnerability >= 4 = 17 lakes. Source for Fig 1 and Table 1."
Downstream corridors with exposure scoring,v1.0,lake_corridors_scored.gpkg,Generated by Step 5-7 analysis,2026-05-08,Internal (open on Zenodo at submission),This study (HydroBASINS-based corridor delineation; exposure scoring per pre-registered SELECTION_CRITERIA.md),"Attribute table holds population (GHS, WP, mean), road km, building count, bridge count, power features, hazard score, exposure score, composite score, rank. Source for Table 2 and Fig 4."
Lake priority scores,v1.0,lake_priority_scores.csv,Generated by Step 8,2026-05-09,Internal (open on Zenodo at submission),This study,Composite log-normalized scoring driving lake selection. L27 Shisper and L29 Passu top-ranked. Source for Fig 5.
NDWI threshold sensitivity test,v1.0,Threshold_sensitivity.csv,Generated by GEE NDWI test on 4 well-known lakes,2026-04-30,Internal (open on Zenodo at submission),This study,"Tested NDWI thresholds 0.0/0.1/0.2/0.3/0.4 on Khurdupin, Shishper, Passu, Karambar. Decision: NDWI > 0.1 with MNDWI > 0 and NDSI < 0.6 gates. Source for Fig 3."
H4 hazard zone binary rasters (14 simulations),v1.0,h4_zones/*.tif,Generated by Step 10,2026-05-10,Internal (open on Zenodo at submission),Westoby 2015 H4 threshold (depth > 1.5m OR depth*velocity > 0.7 m^2/s); this study,Applied to all 14 HEC-RAS depth+velocity outputs. L29 H4 envelope 1.45-3.45 km^2; L27 H4 envelope 5.78-12.00 km^2. Source rasters for Fig 8.
H4 hazard zone exposure summary,v1.0,h4_exposure_summary.csv,Generated by Step 11,2026-05-10,Internal (open on Zenodo at submission),"This study (GHS-POP, WorldPop, OSM inputs)","14 rows. Per scenario: H4 area, pop (GHS/WP/mean), road km, bridge count, building count. Headline finding: ~1000x fewer buildings in H4 than in corridor exposure. Source for Table 4."
GHS-BUILT-S R2023A epoch 2030,"R2023A, epoch 2030",GHS_BUILT_S_2030_GB_Chitral.tif,https://data.jrc.ec.europa.eu/dataset/9f06f36f-4b11-47ec-abb0-4f8b7b1d72ea,2026-05-09,Creative Commons Attribution 4.0 International (CC BY 4.0),"Pesaresi, M., Politis, P. (2026). GHS-BUILT-S R2023A - GHS built-up surface grid, derived from Sentinel-2 composite and Landsat, multitemporal (1975-2030). European Commission, Joint Research Centre. doi:10.2905/9F06F36F-4B11-47EC-ABB0-4F8B7B1D72EA","Global Human Settlement Layer built-up surface grid at 100 m resolution, derived from Sentinel-2 composite (2018) and Landsat (1975-2014), with multitemporal coverage 1975-2030. R2023A release, epoch 2030 (forward projection). Units: square metres of built-up surface per 100 m cell. Used as the fifth scored exposure indicator (built-up area per corridor) in Section 3.6 composite scoring."
